"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"1","1",9602,9841,10200,239,359,598,0.0622786919391793
"2","2",12934,13320,13082,386,-238,148,0.0114427091387042
"3","3",16263,16261,16123,-2,-138,-140,-0.00860849781713091
"4","4",814,814,663,0,-151,-151,-0.185503685503686
"5","5",4786,5476,5857,690,381,1071,0.223777684914333
"6","6",1937,1935,1838,-2,-97,-99,-0.0511099638616417
"7","7",4258,4287,4606,29,319,348,0.081728511038046
"8","8",2072,2143,2092,71,-51,20,0.00965250965250965
"9","9",5063,4596,4611,-467,15,-452,-0.0892751333201659
"10","10",7683,7330,7452,-353,122,-231,-0.0300663803201874
"11","11",5414,4764,5146,-650,382,-268,-0.0495012929442187
"12","12",13905,13329,14734,-576,1405,829,0.059618842143114
"13","13",8248,8499,8598,251,99,350,0.0424345295829292
"14","14",3029,3291,2765,262,-526,-264,-0.0871574777154176
"15","15",4887,5176,4864,289,-312,-23,-0.00470636382238592
"16","16",3396,3797,4003,401,206,607,0.178739693757362
"17","17",3048,2968,3560,-80,592,512,0.167979002624672
"18","18",9199,9101,9138,-98,37,-61,-0.006631155560387
"19","19",7125,7069,7124,-56,55,-1,-0.000140350877192982
"20","20",6748,7177,7179,429,2,431,0.0638707765263782
"21","21",6444,6821,7259,377,438,815,0.126474239602731
"22","22",8014,7925,8143,-89,218,129,0.0160968305465435
"23","23",8258,8473,10069,215,1596,1811,0.219302494550739
"24","24",13399,12719,11255,-680,-1464,-2144,-0.160011941189641
"25","25",8489,8172,8157,-317,-15,-332,-0.0391094357403699
"26","26",12480,11608,12236,-872,628,-244,-0.0195512820512821
"27","27",1707,1704,1996,-3,292,289,0.169302870533099
"28","28",8082,8175,7664,93,-511,-418,-0.0517198713189805
"29","29",6511,6487,6101,-24,-386,-410,-0.0629703578559361
"30","30",10772,12184,13089,1412,905,2317,0.215094689936873
"31","31",4933,4291,5116,-642,825,183,0.0370971011554835
"32","32",7709,7693,7818,-16,125,109,0.014139317680633
"33","33",4151,4172,4846,21,674,695,0.167429535051795
"34","34",4594,5105,5312,511,207,718,0.156290814105355
"35","35",5697,5683,5906,-14,223,209,0.0366859750746007
"36","36",1506,1456,1799,-50,343,293,0.194555112881806
"37","37",8222,8234,7702,12,-532,-520,-0.0632449525662856
"38","38",5383,5433,5160,50,-273,-223,-0.0414267137284042
"39","39",4237,4458,4640,221,182,403,0.0951144677838093
"40","40",5908,5620,4842,-288,-778,-1066,-0.180433310765064
"41","41",7000,7229,6152,229,-1077,-848,-0.121142857142857
"42","42",10181,10256,10683,75,427,502,0.0493075336410962
"43","43",11263,11468,11739,205,271,476,0.0422622747047856
"44","44",5009,5053,5048,44,-5,39,0.00778598522659213
"45","45",13388,13801,14128,413,327,740,0.0552733791455034
"46","46",11769,11718,11756,-51,38,-13,-0.00110459682215991
"47","47",2062,2058,1830,-4,-228,-232,-0.112512124151309
"48","48",11677,11939,12905,262,966,1228,0.105163997602124
