"city","lat","lon","population","country","iso2","pbf_region","continent","len_2016_km","len_2026_km"
"Sapporo",43.07497927,141.3400443,2202893,"Japan","JP","e140_n45_e145_n40","Asia",52.18472,100.94811
"Shenzhen",22.55237051,114.1221231,4291796,"China","CN","e110_n25_e115_n20","Asia",40.00198,143.09924
"Oklahoma City",35.47004295,-97.51868351,660475,"USA","US","w100_n40_w095_n35","Americas",62.89772,133.87038
"Dar es Salaam",-6.800012595,39.26834184,2814326,"Tanzania","TZ","e035_s05_e040_s10","Africa",0,113.08702
"Turku",60.4538668,22.25496171,175443,"Finland","FI","e020_n65_e025_n60","Europe",671.32682,898.35738
"Columbus",39.97997438,-82.9900096,1003418,"USA","US","w085_n40_w080_n35","Americas",84.86797,148.10903
"Budapest",47.50000633,19.08332068,1679000,"Hungary","HU","e015_n50_e020_n45","Europe",182.1263,210.7802
"Dayton",39.750376,-84.19998743,466067,"USA","US","w085_n40_w080_n35","Americas",92.84882,122.84707
"Aurora",39.69585736,-104.808497,431967,"USA","US","w105_n40_w100_n35","Americas",367.30867,514.97485
"Suwon",37.25778912,127.0108931,1078000,"South Korea","KR","e125_n40_e130_n35","Asia",18.77926,289.13639
"Macau",22.20299746,113.5450484,568700,"Macau S.A.R","MO","e110_n25_e115_n20","Asia",11.15989,243.15345
"Chengdu",30.67000002,104.0700195,4036719,"China","CN","e100_n35_e105_n30","Asia",13.35374,174.4651
"Salzburg",47.81047833,13.0400203,178274,"Austria","AT","e010_n50_e015_n45","Europe",101.864,146.69774
"Toronto",43.69997988,-79.42002079,4573711,"Canada","CA","w080_n45_w075_n40","Americas",213.96806,354.06113
"Quebec",46.83996909,-71.24561019,576386,"Canada","CA","w075_n50_w070_n45","Americas",243.57874,328.8941
"San Bernardino",34.12038373,-117.3000342,973691,"USA","US","w120_n35_w115_n30","Americas",32.03211,115.68809
"Liverpool",53.41600181,-2.917997886,639973,"UK","GB","w005_n55_e000_n50","Europe",87.69805,213.12158
"Pizen",49.74043805,13.36000077,161043,"Czechia","CZ","e010_n50_e015_n45","Europe",117.1554,176.92361
"Guadalajara",20.67001609,-103.3300342,2919295,"Mexico","MX","w105_n25_w100_n20","Americas",27.24952,235.30989
"Halifax",44.65002525,-63.60000452,290993,"Canada","CA","w065_n45_w060_n40","Americas",99.40062,125.26689
"Pittsburgh",40.4299986,-79.99998539,1535268,"USA","US","w080_n45_w075_n40","Americas",104.74787,127.08028
"New Taipei",25.01277778,121.465,2821870,"Taiwan","TW","e120_n30_e125_n25","Asia",232.27185,289.73781
"El Paso",31.77998395,-106.5099952,658331,"USA","US","w110_n35_w105_n30","Americas",85.75,143.93938
"Omaha",41.24000083,-96.00999007,643034,"USA","US","w100_n45_w095_n40","Americas",164.73247,252.21203
"Birmingham",52.47497398,-1.919996787,1634667,"UK","GB","w005_n55_e000_n50","Europe",193.98652,394.14834
"Wellington",-41.29997394,174.7832743,296300,"New Zealand","NZ","e170_s40_e175_s45","Oceania",18.0286,142.71971
"Hangzhou",30.24997398,120.1700187,2442565,"China","CN","e120_n35_e125_n30","Asia",337.32125,533.20697
"Ouagadougou",12.37031598,-1.524723756,992229,"Burkina Faso","BF","w005_n15_e000_n10","Africa",26.43155,116.23954
"Taichung",24.15207745,120.681667,1835024,"Taiwan","TW","e120_n25_e125_n20","Asia",40.03682,108.85629
"Venice",45.43865928,12.33499874,270816,"Italy","IT","e010_n50_e015_n45","Europe",59.01361,157.45672
"Yekaterinburg",56.85002993,60.59995967,1270488,"Russia","RU","e060_n60_e065_n55","Europe",4.81831,100.58133
"Nanchang",28.67999229,115.8799963,2110676,"China","CN","e115_n30_e120_n25","Asia",76.30216,169.22628
"Belgrade",44.81864545,20.46799068,1099000,"Serbia","RS","e020_n45_e025_n40","Europe",49.27786,108.01739
"Perth",-31.95501463,115.8399987,1206108,"Australia","AU","e115_s30_e120_s35","Oceania",477.62977,615.69894
"Oulu",64.99999758,25.47001094,132685,"Finland","FI","e025_n65_e030_n60","Europe",814.92063,917.54271
"Gold Coast",-28.08150429,153.4482458,429955,"Australia","AU","e150_s25_e155_s30","Oceania",60.83712,185.36393
"Liege",50.62999615,5.580010537,472803,"Belgium","BE","e005_n55_e010_n50","Europe",88.19453,240.95569
"Incheon",37.47614789,126.6422334,2550000,"South Korea","KR","e125_n40_e130_n35","Asia",53.70504,133.73639
"Valencia",39.48501752,-0.400012046,806652,"Spain","ES","w005_n40_e000_n35","Europe",336.79775,455.53086
"Gwangju",35.1709656,126.9104341,1428469,"South Korea","KR","e125_n40_e130_n35","Asia",31.36278,112.67484
"Tel Aviv-Yafo",32.07999147,34.77001176,1745179,"Israel","IL","e030_n35_e035_n30","Asia",103.8069,196.03479
"Manukau",-36.99997801,174.8849735,336142,"New Zealand","NZ","e170_s35_e175_s40","Oceania",29.54581,258.0465
"Brisbane",-27.45503091,153.0350927,1393177,"Australia","AU","e150_s25_e155_s30","Oceania",452.6965,505.04565
"Canberra",-35.28302855,149.1290262,280866,"Australia","AU","e145_s35_e150_s40","Oceania",420.75208,718.57464
"Auckland",-36.850013,174.7649808,759510,"New Zealand","NZ","e170_s35_e175_s40","Oceania",101.88861,262.81259
"Curitiba",-25.420013,-49.3199976,2291430,"Brazil","BR","w050_s25_w045_s30","Americas",69.33616,150.44464
"Xian",34.27502545,108.8949963,3617406,"China","CN","e105_n35_e110_n30","Asia",19.58717,108.27413
"Washington, D.C.",38.89954938,-77.00941858,2445217,"USA","US","w080_n40_w075_n35","Americas",343.03427,419.05695
"Minsk",53.89997744,27.56662716,1691069,"Belarus","BY","e025_n55_e030_n50","Europe",63.0877,136.07645
"Bristol",51.44999778,-2.583315472,492121,"UK","GB","w005_n55_e000_n50","Europe",219.72532,278.93251
"Long Beach",33.78696739,-118.1580439,1249196,"USA","US","w120_n35_w115_n30","Americas",268.98843,328.8093
"Tokyo",35.68501691,139.7514074,22006300,"Japan","JP","e135_n40_e140_n35","Asia",82.86154,139.29281
"Chicago",41.82999066,-87.75005497,5915976,"USA","US","w090_n45_w085_n40","Americas",140.26201,242.73601
"Santiago",-33.45001382,-70.66704085,2883306,"Chile","CL","w075_s30_w070_s35","Americas",202.34521,244.87583
"Cleveland",41.4699868,-81.69499821,1169757,"USA","US","w085_n45_w080_n40","Americas",42.63301,209.96579
"Barcelona",41.38329958,2.183370319,3250798,"Spain","ES","e000_n45_e005_n40","Europe",221.46655,394.29646
"Minneapolis",44.97997927,-93.25178634,1491887,"USA","US","w095_n45_w090_n40","Americas",417.20995,806.44882
